date,sales
2022-01-01,208284.0
2022-01-02,222428.0
2022-01-03,224317.0
2022-01-04,236782.0
2022-01-05,247838.0
2022-01-06,232375.0
2022-01-07,235501.0
2022-01-08,220307.0
2022-01-09,224438.0
2022-01-10,215369.0
2022-01-11,237316.0
2022-01-12,208903.0
2022-01-13,221564.0
2022-01-14,213269.0
2022-01-15,192126.0
2022-01-16,198945.0
2022-01-17,176835.0
2022-01-18,178225.0
2022-01-19,196304.0
2022-01-20,188670.0
2022-01-21,198991.0
2022-01-22,196345.0
2022-01-23,207310.0
2022-01-24,221778.0
2022-01-25,208275.0
2022-01-26,206480.0
2022-01-27,186281.0
2022-01-28,205538.0
2022-01-29,164928.0
2022-01-30,163787.0
2022-01-31,133943.0
2022-02-01,158145.0
2022-02-02,159926.0
2022-02-03,174003.0
2022-02-04,168016.0
2022-02-05,158346.0
2022-02-06,166404.0
2022-02-07,160382.0
2022-02-08,161029.0
2022-02-09,205034.0
2022-02-10,216440.0
2022-02-11,203789.0
2022-02-12,222264.0
2022-02-13,214273.0
2022-02-14,199642.0
2022-02-15,218309.0
2022-02-16,219691.0
2022-02-17,215168.0
2022-02-18,217154.0
2022-02-19,203270.0
2022-02-20,219461.0
2022-02-21,210644.0
2022-02-22,214106.0
2022-02-23,190778.0
2022-02-24,195725.0
2022-02-25,165951.0
2022-02-26,158914.0
2022-02-27,174750.0
2022-02-28,163171.0
2022-03-01,0.0
2022-03-02,196020.0
2022-03-03,219379.0
2022-03-04,198890.0
2022-03-05,206553.0
2022-03-06,
2022-03-07,242151.0
2022-03-08,210764.0
2022-03-09,230797.0
2022-03-10,221470.0
2022-03-11,219529.0
2022-03-12,209333.0
2022-03-13,231282.0
2022-03-14,241887.0
2022-03-15,242633.0
2022-03-16,238074.0
2022-03-17,253770.0
2022-03-18,236322.0
2022-03-19,239065.0
2022-03-20,226976.0
2022-03-21,249164.0
2022-03-22,239050.0
2022-03-23,239632.0
2022-03-24,
2022-03-25,250971.0
2022-03-26,242522.0
2022-03-27,210426.0
2022-03-28,210544.0
2022-03-29,230141.0
2022-03-30,229488.0
2022-03-31,198250.0
2022-04-01,184398.0
2022-04-02,199934.0
2022-04-03,189690.0
2022-04-04,166050.0
2022-04-05,169195.0
2022-04-06,185652.0
2022-04-07,181763.0
2022-04-08,175652.0
