date,spend
2022-01-01,4707.0
2022-01-02,3030.0
2022-01-03,3635.0
2022-01-04,4332.0
2022-01-05,3749.0
2022-01-06,1663.0
2022-01-07,3847.0
2022-01-08,2428.0
2022-01-09,3143.0
2022-01-10,0.0
2022-01-11,4906.0
2022-01-12,
2022-01-13,4273.0
2022-01-14,3815.0
2022-01-15,4022.0
2022-01-16,4905.0
2022-01-17,2413.0
2022-01-18,3139.0
2022-01-19,4803.0
2022-01-20,4969.0
2022-01-21,4471.0
2022-01-22,3164.0
2022-01-23,4791.0
2022-01-24,5089.0
2022-01-25,4574.0
2022-01-26,2004.0
2022-01-27,4099.0
2022-01-28,4468.0
2022-01-29,3587.0
2022-01-30,4149.0
2022-01-31,3589.0
2022-02-01,3310.0
2022-02-02,5208.0
2022-02-03,4172.0
2022-02-04,3115.0
2022-02-05,2898.0
2022-02-06,3311.0
2022-02-07,3315.0
2022-02-08,4117.0
2022-02-09,4388.0
2022-02-10,4387.0
2022-02-11,0.0
2022-02-12,4736.0
2022-02-13,4982.0
2022-02-14,3792.0
2022-02-15,3174.0
2022-02-16,4080.0
2022-02-17,0.0
2022-02-18,3153.0
2022-02-19,3579.0
2022-02-20,4045.0
2022-02-21,4433.0
2022-02-22,2411.0
2022-02-23,5044.0
2022-02-24,5033.0
2022-02-25,3660.0
2022-02-26,6165.0
2022-02-27,4982.0
2022-02-28,4939.0
2022-03-01,0.0
2022-03-02,4926.0
2022-03-03,3982.0
2022-03-04,3903.0
2022-03-05,3245.0
2022-03-06,3538.0
2022-03-07,3751.0
2022-03-08,4052.0
2022-03-09,5278.0
2022-03-10,2318.0
2022-03-11,5075.0
2022-03-12,3190.0
2022-03-13,3916.0
2022-03-14,3420.0
2022-03-15,5483.0
2022-03-16,3600.0
2022-03-17,4417.0
2022-03-18,4458.0
2022-03-19,0.0
2022-03-20,3922.0
2022-03-21,
2022-03-22,3301.0
2022-03-23,
2022-03-24,3735.0
2022-03-25,4930.0
2022-03-26,5397.0
2022-03-27,2393.0
2022-03-28,2929.0
2022-03-29,3649.0
2022-03-30,5172.0
2022-03-31,4425.0
2022-04-01,3004.0
2022-04-02,4543.0
2022-04-03,3269.0
2022-04-04,4696.0
2022-04-05,4431.0
2022-04-06,0.0
2022-04-07,3947.0
2022-04-08,4979.0
2022-04-09,2486.0
2022-04-10,4240.0
2022-04-11,3114.0
2022-04-12,3987.0
2022-04-13,4366.0
2022-04-14,5610.0
2022-04-15,3978.0
2022-04-16,5172.0
2022-04-17,3327.0
2022-04-18,3603.0
2022-04-19,4469.0
2022-04-20,4161.0
2022-04-21,3737.0
2022-04-22,3715.0
2022-04-23,
2022-04-24,3769.0
2022-04-25,3183.0
2022-04-26,3316.0
2022-04-27,4535.0
2022-04-28,5805.0
2022-04-29,3580.0
2022-04-30,
2022-05-01,3991.0
2022-05-02,3776.0
2022-05-03,3271.0
2022-05-04,3841.0
2022-05-05,3395.0
