date,spend
2022-01-01,3563.0
2022-01-02,2059.0
2022-01-03,2583.0
2022-01-04,1948.0
2022-01-05,4568.0
2022-01-06,283385.0
2022-01-07,2956.0
2022-01-08,3441.0
2022-01-09,3721.0
2022-01-10,3709.0
2022-01-11,3805.0
2022-01-12,2526.0
2022-01-13,2776.0
2022-01-14,3576.0
2022-01-15,2604.0
2022-01-16,2996.0
2022-01-17,3299.0
2022-01-18,3588.0
2022-01-19,1666.0
2022-01-20,3536.0
2022-01-21,2824.0
2022-01-22,3530.0
2022-01-23,3582.0
2022-01-24,4205.0
2022-01-25,4015.0
2022-01-26,4009.0
2022-01-27,4082.0
2022-01-28,3218.0
2022-01-29,3024.0
2022-01-30,-3654.0
2022-01-31,3549.0
2022-02-01,2768.0
2022-02-02,3303.0
2022-02-03,2973.0
2022-02-04,2359.0
2022-02-05,3967.0
2022-02-06,3041.0
2022-02-07,4536.0
2022-02-08,1780.0
2022-02-09,2582.0
2022-02-10,3024.0
2022-02-11,3853.0
2022-02-12,0.0
2022-02-13,3232.0
2022-02-14,2154.0
2022-02-15,2132.0
2022-02-16,3241.0
2022-02-17,1976.0
2022-02-18,2601.0
2022-02-19,3375.0
2022-02-20,2263.0
2022-02-21,4204.0
2022-02-22,3917.0
2022-02-23,1821.0
2022-02-24,2300.0
2022-02-25,0.0
2022-02-26,2413.0
2022-02-27,3574.0
2022-02-28,2689.0
2022-03-01,3345.0
2022-03-02,1858.0
2022-03-03,3598.0
2022-03-04,2583.0
2022-03-05,-3009.0
2022-03-06,2930.0
2022-03-07,2046.0
2022-03-08,2135.0
2022-03-09,3725.0
2022-03-10,
2022-03-11,3787.0
2022-03-12,3243.0
2022-03-13,3107.0
2022-03-14,1705.0
2022-03-15,2797.0
2022-03-16,2979.0
2022-03-17,4464.0
2022-03-18,3515.0
2022-03-19,4152.0
2022-03-20,3448.0
2022-03-21,2466.0
2022-03-22,3087.0
2022-03-23,3177.0
2022-03-24,2295.0
2022-03-25,
2022-03-26,
2022-03-27,4204.0
2022-03-28,1439.0
2022-03-29,3904.0
2022-03-30,2297.0
2022-03-31,1970.0
2022-04-01,3884.0
2022-04-02,3548.0
2022-04-03,3940.0
2022-04-04,3600.0
2022-04-05,4544.0
2022-04-06,3419.0
2022-04-07,2882.0
2022-04-08,3257.0
2022-04-09,3932.0
2022-04-10,2415.0
2022-04-11,2511.0
2022-04-12,2768.0
2022-04-13,1421.0
2022-04-14,3103.0
2022-04-15,1585.0
2022-04-16,3039.0
2022-04-17,3648.0
2022-04-18,2642.0
2022-04-19,4257.0
2022-04-20,1904.0
2022-04-21,3893.0
2022-04-22,3506.0
2022-04-23,1712.0
2022-04-24,5033.0
2022-04-25,2952.0
2022-04-26,2341.0
2022-04-27,1944.0
2022-04-28,2834.0
2022-04-29,2904.0
2022-04-30,3076.0
2022-05-01,2776.0
2022-05-02,3474.0
2022-05-03,2709.0
2022-05-04,1548.0
2022-05-05,2887.0
2022-05-06,1224.0
2022-05-07,
2022-05-08,2265.0
2022-05-09,3122.0
2022-05-10,0.0
2022-05-11,2288.0
2022-05-12,3795.0
2022-05-13,2674.0
2022-05-14,4314.0
2022-05-15,2726.0
2022-05-16,2369.0
2022-05-17,3515.0
2022-05-18,2673.0
2022-05-19,2368.0
2022-05-20,2641.0
2022-05-21,2966.0
2022-05-22,4006.0
2022-05-23,1549.0
2022-05-24,3017.0
2022-05-25,3468.0
2022-05-26,3145.0
2022-05-27,3982.0
2022-05-28,2944.0
2022-05-29,2861.0
2022-05-30,
2022-05-31,3074.0
2022-06-01,2707.0
2022-06-02,3387.0
2022-06-03,0.0
2022-06-04,2541.0
2022-06-05,2604.0
2022-06-06,4014.0
2022-06-07,584.0
2022-06-08,3296.0
2022-06-09,3025.0
2022-06-10,1739.0
2022-06-11,3232.0
2022-06-12,3356.0
2022-06-13,3442.0
2022-06-14,1011.0
2022-06-15,4024.0
2022-06-16,2446.0
2022-06-17,3514.0
2022-06-18,3555.0
2022-06-19,2342.0
2022-06-20,3495.0
2022-06-21,2710.0
2022-06-22,1446.0
2022-06-23,3875.0
2022-06-24,
2022-06-25,0.0
2022-06-26,2697.0
2022-06-27,3204.0
2022-06-28,2957.0
2022-06-29,3411.0
2022-06-30,1995.0
2022-07-01,2443.0
2022-07-02,2913.0
2022-07-03,4423.0
2022-07-04,2914.0
2022-07-05,3813.0
2022-07-06,3028.0
2022-07-07,0.0
2022-07-08,-2814.0
2022-07-09,2873.0
2022-07-10,3452.0
2022-07-11,4030.0
2022-07-12,3269.0
2022-07-13,3890.0
2022-07-14,2276.0
2022-07-15,2689.0
2022-07-16,2456.0
2022-07-17,3235.0
2022-07-18,2730.0
2022-07-19,3547.0
2022-07-20,2301.0
2022-07-21,3032.0
2022-07-22,3515.0
2022-07-23,1451.0
2022-07-24,4591.0
2022-07-25,2787.0
2022-07-26,1481.0
2022-07-27,3118.0
2022-07-28,3025.0
2022-07-29,2938.0
2022-07-30,3743.0
2022-07-31,3560.0
2022-08-01,3223.0
2022-08-02,0.0
2022-08-03,2921.0
2022-08-04,4331.0
2022-08-05,1890.0
2022-08-06,3104.0
2022-08-07,3048.0
2022-08-08,3609.0
2022-08-09,2367.0
2022-08-10,1692.0
2022-08-11,3117.0
2022-08-12,3210.0
2022-08-13,4117.0
2022-08-14,2047.0
2022-08-15,3866.0
2022-08-16,4775.0
2022-08-17,2716.0
2022-08-18,2031.0
2022-08-19,-2694.0
2022-08-20,3010.0
2022-08-21,3422.0
2022-08-22,2556.0
2022-08-23,4166.0
2022-08-24,2164.0
2022-08-25,1695.0
2022-08-26,3830.0
2022-08-27,1294.0
2022-08-28,2846.0
2022-08-29,5338.0
2022-08-30,2990.0
2022-08-31,2159.0
2022-09-01,2956.0
2022-09-02,2961.0
2022-09-03,3120.0
2022-09-04,3496.0
2022-09-05,2220.0
2022-09-06,4265.0
2022-09-07,3183.0
2022-09-08,3545.0
2022-09-09,2528.0
2022-09-10,3964.0
2022-09-11,2807.0
2022-09-12,3208.0
2022-09-13,2300.0
2022-09-14,-2252.0
2022-09-15,3516.0
2022-09-16,2667.0
2022-09-17,2359.0
2022-09-18,2517.0
2022-09-19,3524.0
2022-09-20,2528.0
2022-09-21,2911.0
2022-09-22,3011.0
2022-09-23,1561.0
2022-09-24,1896.0
2022-09-25,3252.0
2022-09-26,2447.0
2022-09-27,3792.0
2022-09-28,3725.0
2022-09-29,3539.0
2022-09-30,4364.0
2022-10-01,0.0
2022-10-02,3486.0
2022-10-03,2561.0
2022-10-04,4839.0
2022-10-05,4487.0
2022-10-06,3008.0
2022-10-07,3289.0
2022-10-08,4019.0
2022-10-09,2889.0
2022-10-10,2507.0
2022-10-11,3655.0
2022-10-12,3058.0
2022-10-13,3137.0
2022-10-14,2374.0
2022-10-15,1711.0
2022-10-16,
2022-10-17,3678.0
2022-10-18,2830.0
2022-10-19,4077.0
2022-10-20,2472.0
2022-10-21,2208.0
2022-10-22,2949.0
2022-10-23,2938.0
2022-10-24,3577.0
2022-10-25,2418.0
2022-10-26,4026.0
2022-10-27,4475.0
2022-10-28,2970.0
2022-10-29,3937.0
2022-10-30,2207.0
2022-10-31,3806.0
2022-11-01,3785.0
2022-11-02,3647.0
2022-11-03,2988.0
2022-11-04,784.0
2022-11-05,2518.0
2022-11-06,2530.0
2022-11-07,2266.0
2022-11-08,3091.0
2022-11-09,2685.0
2022-11-10,2381.0
2022-11-11,2205.0
2022-11-12,2463.0
2022-11-13,3841.0
2022-11-14,2504.0
2022-11-15,2613.0
2022-11-16,2657.0
2022-11-17,3254.0
2022-11-18,3342.0
2022-11-19,68020.0
2022-11-20,3766.0
2022-11-21,4077.0
2022-11-22,
2022-11-23,2270.0
2022-11-24,2662.0
2022-11-25,2432.0
2022-11-26,3167.0
2022-11-27,1540.0
2022-11-28,2161.0
2022-11-29,4154.0
2022-11-30,2303.0
2022-12-01,3932.0
2022-12-02,3266.0
2022-12-03,1643.0
2022-12-04,3476.0
2022-12-05,0.0
2022-12-06,-2658.0
2022-12-07,3183.0
2022-12-08,3355.0
2022-12-09,3530.0
2022-12-10,3883.0
2022-12-11,3306.0
2022-12-12,1968.0
2022-12-13,-2644.0
2022-12-14,5207.0
2022-12-15,3543.0
2022-12-16,4776.0
2022-12-17,4046.0
2022-12-18,3181.0
2022-12-19,3226.0
